,EEG.AF3/Theta,EEG.AF3/Alpha,EEG.AF3/BetaL,EEG.AF3/BetaH,EEG.AF3/Gamma,EEG.T7/Theta,EEG.T7/Alpha,EEG.T7/BetaL,EEG.T7/BetaH,EEG.T7/Gamma,EEG.Pz/Theta,EEG.Pz/Alpha,EEG.Pz/BetaL,EEG.Pz/BetaH,EEG.Pz/Gamma,EEG.T8/Theta,EEG.T8/Alpha,EEG.T8/BetaL,EEG.T8/BetaH,EEG.T8/Gamma,EEG.AF4/Theta,EEG.AF4/Alpha,EEG.AF4/BetaL,EEG.AF4/BetaH,EEG.AF4/Gamma
0,8.610472489407703,5.501868237496614,4.5614868904308565,3.1936761598121692,2.165549371490609,4.847876351348406,3.5004921480390996,1.9389157121920042,1.694835260498398,1.5912036900840836,4.049455971423205,5.557503004853849,3.560697802518349,2.053558646775062,2.1601588549711,9.463217097902143,5.150577861439428,3.6606447194253264,2.501063221616328,2.2310762057161955,12.605176150952776,4.8515130181323425,3.4598147036424427,3.015996260631588,2.034515265451667
0,11.236491912976375,4.730562570702494,4.262801328212417,3.6347805055386657,2.211826861166877,5.588377135626009,3.6392375892105258,3.6001121391399407,2.761007855551844,1.9783318100381726,7.017761635250618,3.8204215792667755,3.9800955598576957,3.290945552424186,2.1389051711030187,11.883726432807837,4.638568700939336,3.9268820854075175,3.4887531659988285,2.7052288450787763,15.88386401035711,4.8544400814233235,4.264603157147585,3.9428860447668947,2.3945671486095454
0,6.249945056192184,6.589423349531979,4.290973444027071,2.958648319512902,2.9531263811391284,9.70740960358333,5.810443815222442,4.588409687705941,3.599540947593417,2.966863719595354,9.75859486832251,6.782307791188137,5.842098345073242,3.8319639186509717,3.487909139097499,9.300441778172303,6.675275380977615,4.937549230835764,3.0102234998378097,3.2469582786122904,9.855949733564605,7.535002781134499,5.113589408892277,2.9589518297027517,2.7762314285434146
0,5.349045904778385,4.600553041425869,5.030451627333929,2.8092272790532284,2.411817176585943,7.7005964461483245,4.074481831273624,4.28066127604152,2.684175084981747,2.241293284141216,7.775516088384118,4.6348096104764736,5.519337204795864,4.060822757798347,2.9562354903168298,7.849140212541506,5.271860020628139,5.121976880367493,3.2952043525673758,2.508972791057126,7.81298536435277,5.7920052931309804,4.950972365625473,3.0291736364078523,2.451335037095951
0,4.5534729575159405,5.647335061595323,3.0503500818433382,2.880609108540522,2.3651102079125543,3.286854938066688,3.4373719123982687,3.1363176124906422,1.8609816991097585,2.004430519826477,4.910953692362599,3.5076688566581233,3.4539123373011287,2.546241433256496,2.4331348496738836,5.95496716539369,5.490500364039539,3.8677908992123307,3.230746356361113,2.8885323052172573,6.540860795545852,4.986008634329792,3.6726808841551026,2.656285556002758,2.2820090546171583
0,10.675140954435642,8.475566275244017,3.4171393908515713,2.8785721983247443,1.9708572100103627,5.73843896123496,2.6625913237383183,3.105094651333926,1.8898890108206694,1.2556500901066219,8.453201939762792,5.384195523334539,3.96844870058334,2.450474331181476,2.2164368408426176,7.651969992618393,4.902535070780971,4.520313902647095,2.790588545752789,2.4387282766973906,10.043753863980873,6.459511616425331,3.857615070925223,1.9705100850138408,2.0658837188991632
0,8.091522847176396,8.263950904379936,5.523228728628654,3.8832514861899483,2.157373561247426,4.633915462462994,2.517358662900275,2.899939915157895,1.6622482457414285,1.4357067213932313,6.926029920862296,6.395281945535743,4.758205890085258,3.3476842609347925,2.0219661113028073,8.963870790010404,3.8129777678513483,4.260285823243492,3.2330760836865524,2.6893104816730458,10.045367529914495,6.200145665003139,5.790608530809547,2.716455405973736,1.9135743936179987
0,9.208058926241849,8.98298469449669,4.92171798653216,3.683988485797589,2.4950691796170354,4.961559633168376,2.8867085962763204,3.2391025701641163,1.753289509767732,1.6910178518259897,6.526919504778273,5.694698515862683,5.593527618396266,3.1187743033021107,1.9915501924819898,7.579097389185838,3.501893566439532,3.8622766367848045,2.793536434887921,3.222355878176471,7.555231555351374,6.683621976662765,5.3125763776658745,2.9267769751782438,2.035768630606388
0,10.801858461609765,8.815783797031258,5.419634597405163,3.7019507095232043,2.6703074931869484,7.8140124875369965,3.8395703481248495,3.396817218159194,2.2835523953392043,1.8060937514650588,7.547497291580936,6.366395024484437,5.9077037650074296,3.3925145282947886,2.0882670452166203,6.848494096641142,3.506077459747961,3.5746650873409265,3.0391509375893393,2.871113475127159,8.790459556006471,5.603443418208885,5.171676589229824,3.466928238359749,1.9802790061698652
0,10.332100787290964,8.137672930325667,4.9368522215822965,3.554802888930839,2.850555036716027,7.3014243627181035,4.211108884494296,3.4050300125645934,2.1212280110028443,1.9153247598685046,8.551345737853143,5.905270478235902,5.732421637471289,3.448026139236938,2.340046355066218,9.554944979761547,4.257871763051293,3.111992039521399,3.0585803839186245,2.8241865181747383,13.386057884376672,7.223188145205778,4.559729133303149,3.789865825722136,2.487731270253732
